time,Chemical1,Chemical2,Chemical3
0,50,25,0
0.1,49,24,2
0.2,47.1192,22.1192,5.7616
0.3,44.6213,19.6213,10.7574
0.4,41.8282,16.8282,16.3436
0.5,39.029,14.029,21.9421
0.6,36.4271,11.4271,27.1457
0.7,34.1341,9.13409,31.7318
0.8,32.1894,7.18944,35.6211
0.9,30.5873,5.58731,38.8254
1,29.2978,4.29775,41.4045
1.1,28.2808,3.2808,43.4384
1.2,27.4943,2.49433,45.0113
1.3,26.8981,1.89813,46.2037
1.4,26.4557,1.45567,47.0887
1.5,26.1348,1.13481,47.7304
1.6,25.9079,0.907922,48.1842
1.7,25.7518,0.751844,48.4963
1.8,25.6476,0.647627,48.7047
1.9,25.5802,0.580232,48.8395
2,25.5381,0.53811,48.9238
2.1,25.5127,0.512719,48.9746
2.2,25.498,0.497984,49.004
2.3,25.4898,0.489767,49.0205
2.4,25.4854,0.485372,49.0293
2.5,25.4831,0.48312,49.0338
2.6,25.482,0.482018,49.036
2.7,25.4815,0.481504,49.037
2.8,25.4813,0.481276,49.0374
2.9,25.4812,0.481179,49.0376
3,25.4811,0.481141,49.0377
3.1,25.4811,0.481126,49.0377
3.2,25.4811,0.481121,49.0378
3.3,25.4811,0.481119,49.0378
3.4,25.4811,0.481119,49.0378
3.5,25.4811,0.481119,49.0378
3.6,25.4811,0.481119,49.0378
3.7,25.4811,0.481119,49.0378
3.8,25.4811,0.481119,49.0378
3.9,25.4811,0.481119,49.0378
4,25.4811,0.481119,49.0378
4.1,25.4811,0.481119,49.0378
4.2,25.4811,0.481119,49.0378
4.3,25.4811,0.481119,49.0378
4.4,25.4811,0.481119,49.0378
4.5,25.4811,0.481119,49.0378
4.6,25.4811,0.481119,49.0378
4.7,25.4811,0.481119,49.0378
4.8,25.4811,0.481119,49.0378
4.9,25.4811,0.481119,49.0378
5,25.4811,0.481119,49.0378
5.1,25.4811,0.481119,49.0378
5.2,25.4811,0.481119,49.0378
5.3,25.4811,0.481119,49.0378
5.4,25.4811,0.481119,49.0378
5.5,25.4811,0.481119,49.0378
5.6,25.4811,0.481119,49.0378
5.7,25.4811,0.481119,49.0378
5.8,25.4811,0.481119,49.0378
5.9,25.4811,0.481119,49.0378
6,25.4811,0.481119,49.0378
6.1,25.4811,0.481119,49.0378
6.2,25.4811,0.481119,49.0378
6.3,25.4811,0.481119,49.0378
6.4,25.4811,0.481119,49.0378
6.5,25.4811,0.481119,49.0378
6.6,25.4811,0.481119,49.0378
6.7,25.4811,0.481119,49.0378
6.8,25.4811,0.481119,49.0378
6.9,25.4811,0.481119,49.0378
7,25.4811,0.481119,49.0378
7.1,25.4811,0.481119,49.0378
7.2,25.4811,0.481119,49.0378
7.3,25.4811,0.481119,49.0378
7.4,25.4811,0.481119,49.0378
7.5,25.4811,0.481119,49.0378
7.6,25.4811,0.481119,49.0378
7.7,25.4811,0.481119,49.0378
7.8,25.4811,0.481119,49.0378
7.9,25.4811,0.481119,49.0378
8,25.4811,0.481119,49.0378
8.1,25.4811,0.481119,49.0378
8.2,25.4811,0.481119,49.0378
8.3,25.4811,0.481119,49.0378
8.4,25.4811,0.481119,49.0378
8.5,25.4811,0.481119,49.0378
8.6,25.4811,0.481119,49.0378
8.7,25.4811,0.481119,49.0378
8.8,25.4811,0.481119,49.0378
8.9,25.4811,0.481119,49.0378
9,25.4811,0.481119,49.0378
9.1,25.4811,0.481119,49.0378
9.2,25.4811,0.481119,49.0378
9.3,25.4811,0.481119,49.0378
9.4,25.4811,0.481119,49.0378
9.5,25.4811,0.481119,49.0378
9.6,25.4811,0.481119,49.0378
9.7,25.4811,0.481119,49.0378
9.8,25.4811,0.481119,49.0378
9.9,25.4811,0.481119,49.0378
10,25.4811,0.481119,49.0378
